CLAHYE,Clangula hyemalis,,alli,alfågel,Long-tailed Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2014/02/19/23/56/long-tailed-duck-270317__480.jpg
MELNIG,Melanitta nigra,,mustalintu,sjöorre,Common Scoter,Sorsalinnut,Sorsat,
MELAME,Melanitta americana,,amerikanmustalintu,amerikansk sjöorre,Black Scoter,Sorsalinnut,Sorsat,
MELPER,Melanitta perspicillata,,pilkkaniska,vitnackad svärta,Surf Scoter,Sorsalinnut,Sorsat,
MELFUS,Melanitta fusca,,pilkkasiipi,svärta,Velvet Scoter,Sorsalinnut,Sorsat,
MELDEG,Melanitta deglandi,,kyhmypilkkasiipi,knölsvärta,White-winged Scoter,Sorsalinnut,Sorsat,
BUCCLA,Bucephala clangula,,telkkä,knipa,Common Goldeneye,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2016/04/22/17/04/haddock-duck-1346117__480.jpg
MERALB,Mergellus albellus,,uivelo,salskrake,Smew,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/05/10/32/wild-animals-3292452__480.jpg
MERSER,Mergus serrator,,tukkakoskelo,småskrake,Red-breasted Merganser,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/04/08/21/37/red-breasted-merganser-6162883__340.jpg
MERMER,Mergus merganser,,isokoskelo,storskrake,Goosander,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/11/22/12/30/goosander-5766455__340.jpg
OXYJAM,Oxyura jamaicensis,C,kuparisorsa,amerikansk kopparand,Ruddy Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/07/16/01/01/duck-5409308__340.jpg
CYGATR,Cygnus atratus,E,mustajoutsen,svart svan,Black Swan,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/22/12/32/swan-3340932__340.jpg
ANSCYG,Anser cygnoides,E,joutsenhanhi,svangås,Swan Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2016/11/05/20/25/suhonos-1801356__340.jpg
ANSCAE,Anser caerulescens,E,lumihanhi,snögås,Snow Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/12/04/13/11/snow-goose-5803158__480.jpg
ANSROS,Anser rossii,E,eskimohanhi,dvärgsnögås,Ross's Goose,Sorsalinnut,Sorsat,
ALOAEG,Alopochen aegyptiaca,E,afrikanhanhi,nilgås,Egyptian Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2019/09/28/13/20/nilgans-4510759__340.jpg
AIXSPO,Aix sponsa,E,morsiosorsa,brudand,Wood Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2016/06/29/13/00/duck-1486716__480.jpg
ANASIB,Anas sibilatrix,E,patagonianhaapana,chilebläsand,Chiloe Wigeon,Sorsalinnut,Sorsat,
ANAFAL,Anas falcata,D,sirppisorsa,praktand,Falcated Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2017/06/13/23/51/falcated-2400586__340.jpg
ANABAH,Anas bahamensis,E,valkoposkisorsa,bahamaand,Bahama Pintail,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/17/09/45/shilokhvost-3327079__340.jpg
ANACYA,Anas cyanoptera,E,punatavi,kanelårta,Cinnamon Teal,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/06/19/00/11/cinnamon-5315322__480.jpg
BUCALB,Bucephala albeola,D,pikkutelkkä,buffelhuvud,Bufflehead,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/03/05/00/12/duck-4903047__480.jpg
MERCUC,Mergus cucullatus,D,harjakoskelo,kamskrake,Hooded Merganser,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/04/18/23/28/hooded-merganser-5061356__480.jpg
COTCOT,Coturnix coturnix,,viiriäinen,vaktel,Common Quail,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2014/10/27/01/12/quail-504658__340.jpg
TETBON,Tetrastes bonasia,,pyy,järpe,Hazel Grouse,Kanalinnnut,Aitokanat,
LAGLAG,Lagopus lagopus,,riekko,dalripa,Willow Ptarmigan,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2020/03/18/07/50/lagopus-muta-4943115__340.jpg
LAGMUT,Lagopus muta,,kiiruna,fjällripa,Rock Ptarmigan,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2019/05/24/17/48/rock-ptarmigan-4226804_960_720.jpg
TETRIX,Tetrao tetrix,,teeri,orre,Black Grouse,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2019/04/14/11/14/black-grouse-4126537__340.jpg
TETURO,Tetrao urogallus,,metso,tjäder,Capercaillie,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2021/05/29/06/36/birds-6292604__340.jpg
PERPER,Perdix perdix,,peltopyy,rapphöna,Grey Partridge,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2022/02/01/12/00/partridge-6986168__480.jpg
PHACOL,Phasianus colchicus,C,fasaani,fasan,Common Pheasant,Kanalinnnut,Aitokanat,https://cdn.pixabay.com/photo/2015/05/13/13/26/pheasant-765448__340.jpg
GAVSTE,Gavia stellata,,kaakkuri,smålom,Red-throated Diver,Kuikkalinnut,Kuikat,
GAVARC,Gavia arctica,,kuikka,storlom,Black-throated Diver,Kuikkalinnut,Kuikat,
GAVPAC,Gavia pacifica,,tundrakuikka,stillahavslom,Pacific Diver,Kuikkalinnut,Kuikat,
GAVIMM,Gavia immer,,amerikanjääkuikka,svartnäbbad islom,Great Northern Diver,Kuikkalinnut,Kuikat,https://cdn.pixabay.com/photo/2020/06/12/17/43/common-loon-5291143__480.jpg
GAVADA,Gavia adamsii,,jääkuikka,vitnäbbad islom,White-billed Diver,Kuikkalinnut,Kuikat,
TACRUF,Tachybaptus ruficollis,,pikku-uikku,smådopping,Little Grebe,Uikkulinnut,Uikut,https://cdn.pixabay.com/photo/2020/05/26/06/16/bird-5221648__340.jpg
PODCRI,Podiceps cristatus,,silkkiuikku,skäggdopping,Great Crested Grebe,Uikkulinnut,Uikut,https://cdn.pixabay.com/photo/2018/03/11/21/13/great-crested-grebe-3218071__340.jpg
PODGRI,Podiceps grisegena,,härkälintu,gråhakedopping,Red-necked Grebe,Uikkulinnut,Uikut,
PODAUR,Podiceps auritus,,mustakurkku-uikku,svarthakedopping,Slavonian Grebe,Uikkulinnut,Uikut,https://cdn.pixabay.com/photo/2022/07/09/18/29/bird-7311529__340.jpg
PODNIG,Podiceps nigricollis,,mustakaulauikku,svarthalsad dopping,Black-necked Grebe,Uikkulinnut,Uikut,https://cdn.pixabay.com/photo/2016/04/24/15/55/black-neck-divers-1349881__340.jpg
FULGLA,Fulmarus glacialis,,myrskylintu,stormfågel,Northern Fulmar,Ulappalinnut,Ulappaliitäjät,https://cdn.pixabay.com/photo/2019/10/11/16/17/mallemuk-4542235_960_720.jpg
PUFGRI,Puffinus griseus,,nokiliitäjä,grålira,Sooty Shearwater,Ulappalinnut,Ulappaliitäjät,
PUFPUF,Puffinus puffinus,,pikkuliitäjä,mindre lira,Manx Shearwater,Ulappalinnut,Ulappaliitäjät,
HYDPEL,Hydrobates pelagicus,,merikeiju,stormsvala,European Storm Petrel,Ulappalinnut,Ulappakeijut,
OCELEU,Oceanodroma leucorhoa,,myrskykeiju,klykstjärtad stormsvala,Leach's Storm Petrel,Ulappalinnut,Ulappakeijut,
OCECAS,Oceanodroma castro,,madeirankeiju,oceanlöpare,Madeiran Storm Petrel,Ulappalinnut,Ulappakeijut,
MORBAS,Morus bassanus,,suula,havssula,Northern Gannet,Pelikaanilinnut,Suulat,https://cdn.pixabay.com/photo/2018/12/14/09/06/bempton-cliffs-3874516__340.jpg
PHACAR,Phalacrocorax carbo,,merimetso,storskarv,Cormorant,Pelikaanilinnut,Merimetsot,https://cdn.pixabay.com/photo/2022/07/09/05/01/bird-7310151__340.jpg
PHAARI,Phalacrocorax aristotelis,,karimetso,toppskarv,Shag,Pelikaanilinnut,Merimetsot,https://cdn.pixabay.com/photo/2017/04/28/12/56/archipelago-cies-2268293__480.jpg
PELONO,Pelecanus onocrotalus,B,pelikaani,vit pelikan,White Pelican,Pelikaanilinnut,Pelikaanit,https://cdn.pixabay.com/photo/2022/07/09/07/20/bird-7310329__340.jpg
BOTSTE,Botaurus stellaris,,kaulushaikara,rördrom,Bittern,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2021/12/08/04/24/bittern-6854628__340.jpg
IXOMIN,Ixobrychus minutus,,pikkuhaikara,dvärgrördrom,Little Bittern,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2017/08/05/12/09/bird-2583046__340.jpg
NYCNYC,Nycticorax nycticorax,,yöhaikara,natthäger,Black-crowned Night Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2018/11/20/19/09/spain-3828048__340.jpg
ARDRAL,Ardeola ralloides,,rääkkähaikara,rallhäger,Squacco Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2018/05/30/00/24/water-plan-3440451__340.jpg
BUBIBI,Bubulcus ibis,,lehmähaikara,kohäger,Cattle Egret,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2019/02/15/10/10/cattle-egret-3998166__340.jpg
EGRGAR,Egretta garzetta,,silkkihaikara,silkeshäger,Little Egret,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2017/07/10/21/09/little-egret-2491566__340.jpg
EGRALB,Egretta alba,,jalohaikara,ägretthäger,Great Egret,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2020/09/22/08/25/great-egret-5592300__340.jpg
ARDCIN,Ardea cinerea,,harmaahaikara,gråhäger,Grey Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2019/06/10/21/38/heron-4265494__340.jpg
ARDPUR,Ardea purpurea,,ruskohaikara,purpurhäger,Purple Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2018/03/06/08/16/nature-3202825__480.jpg
ARDBAC,Ardeola bacchus,D,kiinanriisihaikara,bacchushäger,Chinese Pond Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2018/04/03/00/51/nature-3285626__340.jpg
ARDGRA,Ardeola grayii,E,intianriisihaikara,rishäger,Indian Pond Heron,Haikaralinnut,Haikarat,https://cdn.pixabay.com/photo/2014/04/09/17/35/pond-320246__340.jpg
CICNIG,Ciconia nigra,,mustahaikara,svart stork,Black Stork,Haikaralinnut,Kattohaikarat,https://cdn.pixabay.com/photo/2017/11/27/13/52/black-stork-2981385__340.jpg
CICCIC,Ciconia ciconia,,kattohaikara,vit stork,White Stork,Haikaralinnut,Kattohaikarat,https://cdn.pixabay.com/photo/2015/05/28/21/42/stork-788666__340.jpg
CICABD,Ciconia abdimii,E,savannihaikara,abdimstork,Abdim's Stork,Haikaralinnut,Kattohaikarat,https://cdn.pixabay.com/photo/2016/09/17/11/54/bird-1675960__480.jpg
PLEFAL,Plegadis falcinellus,,pronssi-iibis,bronsibis,Glossy Ibis,Haikaralinnut,Iibikset,https://cdn.pixabay.com/photo/2017/08/25/16/00/glossy-ibis-2680553__340.jpg
PLALEU,Platalea leucorodia,,kapustahaikara,skedstork,Eurasian Spoonbill,Haikaralinnut,Iibikset,https://cdn.pixabay.com/photo/2022/03/31/10/22/bird-7102727__480.jpg
PHOROS,Phoenicopterus roseus,D,flamingo,större flamingo,Greater Flamingo,Flamingolinnut,Flamingot,https://cdn.pixabay.com/photo/2019/07/01/16/51/bird-4310423__340.jpg
PHOCHI,Phoenicopterus chilensis,E,chilenflamingo,chileflamingo,Chilean Flamingo,Flamingolinnut,Flamingot,https://cdn.pixabay.com/photo/2015/04/14/06/04/phoenicopterus-chilensis-721711__480.jpg
PHOMIN,Phoenicopterus minor,E,pikkuflamingo,mindre flamingo,Lesser Flamingo,Flamingolinnut,Flamingot,https://cdn.pixabay.com/photo/2017/10/11/17/48/bird-2841881__340.jpg
PERAPI,Pernis apivorus,,mehiläishaukka,bivråk,European Honey Buzzard,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2014/04/02/11/21/bird-305840__480.jpg
MILMIG,Milvus migrans,,haarahaukka,brun glada,Black Kite,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2021/12/29/11/53/bird-6901465_960_720.jpg
MILMIL,Milvus milvus,,isohaarahaukka,röd glada,Red Kite,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2018/04/22/13/52/red-kite-3341094__340.jpg
HALLEU,Haliaeetus leucoryphus,B,aromerikotka,bandhavsörn,Pallas's Fish Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2021/12/22/14/30/eagle-6887596__340.jpg
HALALB,Haliaeetus albicilla,,merikotka,havsörn,White-tailed Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2018/03/16/03/33/natural-3230134__340.jpg
NEOPER,Neophron percnopterus,,pikkukorppikotka,smutsgam,Egyptian Vulture,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2021/03/09/15/16/egyptian-vulture-6082122__340.jpg
GYPFUL,Gyps fulvus,,hanhikorppikotka,gåsgam,Griffon Vulture,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2017/09/25/16/56/vulture-2785815__340.jpg
AEGMON,Aegypius monachus,,munkkikorppikotka,grågam,Black Vulture,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2016/06/12/10/32/vulture-1451749__340.jpg
CIRGAL,Circaetus gallicus,,käärmekotka,ormörn,Short-toed Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2020/06/02/05/51/short-toed-eagle-5249518_960_720.jpg
CIRAER,Circus aeruginosus,,ruskosuohaukka,brun kärrhök,Marsh Harrier,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2021/01/05/15/48/marsh-harrier-5891589__340.jpg
CIRCYA,Circus cyaneus,,sinisuohaukka,blå kärrhök,Hen Harrier,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2020/02/22/13/51/hen-harrier-4870591__340.jpg
CIRMAC,Circus macrourus,,arosuohaukka,stäpphök,Pallid Harrier,Päiväpetolinnut,Haukat,
CIRPYG,Circus pygargus,,niittysuohaukka,ängshök,Montagu's Harrier,Päiväpetolinnut,Haukat,
ACCGEN,Accipiter gentilis,,kanahaukka,duvhök,Northern Goshawk,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2021/10/10/09/19/goshawk-6696074__340.jpg
ACCNIS,Accipiter nisus,,varpushaukka,sparvhök,Eurasian Sparrowhawk,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2020/09/22/09/07/sparrowhawk-5592388__340.jpg
BUTBUT,Buteo buteo,,hiirihaukka,ormvråk,Common Buzzard,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2019/09/24/19/12/common-buzzard-4502027__340.jpg
BUTRUF,Buteo rufinus,,arohiirihaukka,örnvråk,Long-legged Buzzard,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2018/12/06/11/50/buzzard-3859661__340.jpg
BUTLAG,Buteo lagopus,,piekana,fjällvråk,Rough-legged Buzzard,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2019/11/20/21/03/hawk-4641135__340.jpg
AQUCLA,Aquila clanga,,kiljukotka,större skrikörn,Greater Spotted Eagle,Päiväpetolinnut,Haukat,
AQUPOM,Aquila pomarina,,pikkukiljukotka,mindre skrikörn,Lesser Spotted Eagle,Päiväpetolinnut,Haukat,
AQUPEN,Aquila pennata,,pikkukotka,dvärgörn,Booted Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2015/02/25/17/07/booted-eagle-649070__480.jpg
AQUCHR,Aquila chrysaetos,,maakotka,kungsörn,Golden Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2020/05/22/12/13/eagle-5205176_960_720.jpg
AQUNIP,Aquila nipalensis,,arokotka,stäppörn,Steppe Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2016/08/07/19/26/steppe-eagle-1576944__340.jpg
AQUHEL,Aquila heliaca,,keisarikotka,kejsarörn,Eastern Imperial Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2019/03/23/18/49/bird-4075973__480.jpg
HALPEL,Haliaeetus pelagicus,E,kuningasmerikotka,jättehavsörn,Steller's Sea Eagle,Päiväpetolinnut,Haukat,https://cdn.pixabay.com/photo/2018/03/17/12/42/bird-3233901__340.jpg
PANHAL,Pandion haliaetus,,sääksi,fiskgjuse,Osprey,Päiväpetolinnut,Sääkset,https://cdn.pixabay.com/photo/2020/11/08/14/25/osprey-5723920__340.jpg
FALNAU,Falco naumanni,,pikkutuulihaukka,rödfalk,Lesser Kestrel,Jalohaukkalinnut,Jalohaukat,
FALTIN,Falco tinnunculus,,tuulihaukka,tornfalk,Common Kestrel,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2019/10/31/08/12/animal-4591282__340.jpg
FALVES,Falco vespertinus,,punajalkahaukka,aftonfalk,Red-footed Falcon,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2015/07/19/23/05/wild-852171__340.jpg
FALCOL,Falco columbarius,,ampuhaukka,stenfalk,Merlin,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2017/02/04/02/21/bird-2036548__340.jpg
FALSUB,Falco subbuteo,,nuolihaukka,lärkfalk,Hobby,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2016/04/21/15/21/hobby-1343652__480.jpg
FALELE,Falco eleonorae,,välimerenhaukka,eleonorafalk,Eleonora's Falcon,Jalohaukkalinnut,Jalohaukat,
FALCHE,Falco cherrug,,aavikkohaukka,tatarfalk,Saker Falcon,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2022/05/18/14/39/bird-7205452__480.jpg
FALRUS,Falco rusticolus,,tunturihaukka,jaktfalk,Gyrfalcon,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2020/05/01/22/47/gyrfalcon-5119237__340.jpg
FALPER,Falco peregrinus,,muuttohaukka,pilgrimsfalk,Peregrine Falcon,Jalohaukkalinnut,Jalohaukat,https://cdn.pixabay.com/photo/2018/04/01/15/36/falcon-3281257__340.jpg
RALAQU,Rallus aquaticus,,luhtakana,vattenrall,Water Rail,Kurkilinnut,Rantakanat,https://cdn.pixabay.com/photo/2020/02/26/16/31/water-rail-4882235__340.jpg
PORPOR,Porzana porzana,,luhtahuitti,småfläckig sumphöna,Spotted Crake,Kurkilinnut,Rantakanat,
PORPAR,Porzana parva,,pikkuhuitti,mindre sumphöna,Little Crake,Kurkilinnut,Rantakanat,
PORPUS,Porzana pusilla,,kääpiöhuitti,dvärgsumphöna,Baillon's Crake,Kurkilinnut,Rantakanat,
CRECRE,Crex crex,,ruisrääkkä,kornknarr,Corn Crake,Kurkilinnut,Rantakanat,
GALCHL,Gallinula chloropus,,liejukana,rörhöna,Moorhen,Kurkilinnut,Rantakanat,https://cdn.pixabay.com/photo/2022/04/08/17/16/moorhen-7119946__340.jpg
PORALL,Porphyrio alleni,,kurnuliejukana,mindre sultanhöna,Allen's Gallinule,Kurkilinnut,Rantakanat,
FULATR,Fulica atra,,nokikana,sothöna,Eurasian Coot,Kurkilinnut,Rantakanat,https://cdn.pixabay.com/photo/2022/03/20/17/21/bird-7081453__340.jpg
GRUGRU,Grus grus,,kurki,trana,Common Crane,Kurkilinnut,Kurjet,https://cdn.pixabay.com/photo/2021/03/09/15/16/common-crane-6082115__340.jpg
GRUCAN,Grus canadensis,,hietakurki,prärietrana,Sandhill Crane,Kurkilinnut,Kurjet,https://cdn.pixabay.com/photo/2012/10/29/15/37/crane-63528__340.jpg
GRUVIR,Grus virgo,,neitokurki,jungfrutrana,Demoiselle Crane,Kurkilinnut,Kurjet,https://cdn.pixabay.com/photo/2018/04/06/09/00/bird-3295265__340.jpg
TETRAX,Tetrax tetrax,,pikkutrappi,småtrapp,Little Bustard,Kurkilinnut,Trapit,
CHLMAC,Chlamydotis macqueenii,B,idänkaulustrappi,kragtrapp,Macqueen's Bustard,Kurkilinnut,Trapit,
OTITAR,Otis tarda,B,isotrappi,stortrapp,Great Bustard,Kurkilinnut,Trapit,
